,Country,Link,Desired_Table,Total_Men,Total_Women
120,Nauru,https://en.wikipedia.org/wiki/Nauru_at_the_2020_Summer_Olympics,"           Sport  Men  Women  Total
0      Athletics    1      0      1
1  Weightlifting    0      1      1
2          Total    1      1      2",1,1
121,Nepal,https://en.wikipedia.org/wiki/Nepal_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    0      1      1
1       Judo    0      1      1
2   Shooting    0      1      1
3   Swimming    1      1      2
4      Total    1      4      5",1,4
122,New Zealand,https://en.wikipedia.org/wiki/New_Zealand_at_the_2020_Summer_Olympics,"            Sport  Men  Women  Total
0       Athletics    8      5     13
1          Boxing    1      0      1
2        Canoeing    3      5      8
3         Cycling   12      8     19
4          Diving    1      0      1
5      Equestrian    5      1      6
6    Field hockey   16     16     32
7        Football   22     22     44
8            Golf    1      1      2
9      Gymnastics    2      1      3
10         Karate    0      1      1
11         Rowing   15     15     30
12   Rugby sevens   13     13     26
13        Sailing    7      3     10
14       Shooting    0      2      2
15        Surfing    1      1      2
16       Swimming    2      5      7
17      Taekwondo    1      0      1
18         Tennis    2      0      2
19      Triathlon    2      2      4
20  Weightlifting    2      3      5
21          Total  116    104    220",116,104
123,Nicaragua,https://en.wikipedia.org/wiki/Nicaragua_at_the_2020_Summer_Olympics,"           Sport  Men  Women  Total
0      Athletics    1      0      1
1           Judo    0      1      1
2         Rowing    1      1      2
3       Shooting    1      0      1
4       Swimming    1      1      2
5  Weightlifting    0      1      1
6          Total    4      4      8",4,4
124,Niger,https://en.wikipedia.org/wiki/Niger_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      1      2
1       Judo    1      0      1
2   Swimming    1      1      2
3  Taekwondo    1      1      2
4      Total    4      3      7",4,3
125,Nigeria,https://en.wikipedia.org/wiki/Nigeria_at_the_2020_Summer_Olympics,"           Sport  Men  Women  Total
0      Athletics    7      7     14
1      Badminton    2      1      3
2     Basketball   12     12     24
3       Canoeing    0      1      1
4     Gymnastics    1      0      1
5         Rowing    0      1      1
6       Swimming    0      1      1
7   Table tennis    2      2      4
8      Taekwondo    0      1      1
9      Wrestling    1      4      5
10         Total   25     30     55",25,30
126,North Macedonia,https://en.wikipedia.org/wiki/North_Macedonia_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      0      1
1       Judo    0      1      1
2     Karate    0      1      1
3   Shooting    1      0      1
4   Swimming    1      1      2
5  Taekwondo    1      0      1
6  Wrestling    1      0      1
7      Total    5      3      8",5,3
127,Norway,https://en.wikipedia.org/wiki/Norway_at_the_2020_Summer_Olympics,"         Sport  Men  Women  Total
0    Athletics   10      5     15
1     Canoeing    1      0      1
2      Cycling    6      3      9
3       Diving    0      1      1
4   Equestrian    1      0      1
5         Golf    2      1      3
6   Gymnastics    1      1      2
7     Handball   15     15     30
8       Rowing    7      0      7
9      Sailing    4      4      8
10    Shooting    3      2      5
11    Swimming    3      1      4
12   Taekwondo    1      0      1
13   Triathlon    3      1      4
14  Volleyball    2      0      2
15       Total   59     34     93",59,34
128,Oman,https://en.wikipedia.org/wiki/Oman_at_the_2020_Summer_Olympics,"           Sport  Men  Women  Total
0      Athletics    1      1      2
1       Shooting    1      0      1
2       Swimming    1      0      1
3  Weightlifting    1      0      1
4          Total    4      1      5",4,1
129,Pakistan,https://en.wikipedia.org/wiki/Pakistan_at_the_2020_Summer_Olympics,"           Sport  Men  Women  Total
0      Athletics    1      1      2
1      Badminton    0      1      1
2           Judo    1      0      1
3       Shooting    3      0      3
4       Swimming    1      1      2
5  Weightlifting    1      0      1
6          Total    7      3     10",7,3
130,Palau,https://en.wikipedia.org/wiki/Palau_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      0      1
1   Swimming    1      1      2
2      Total    2      1      3",2,1
131,Palestine,https://en.wikipedia.org/wiki/Palestine_at_the_2020_Summer_Olympics,"           Sport  Men  Women  Total
0      Athletics    0      1      1
1           Judo    1      0      1
2       Swimming    1      1      2
3  Weightlifting    1      0      1
4          Total    3      2      5",3,2
132,Panama,https://en.wikipedia.org/wiki/Panama_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    2      2      4
1     Boxing    0      1      1
2    Cycling    1      0      1
3       Judo    0      2      2
4   Swimming    1      1      2
5      Total    4      6     10",4,6
133,Papua New Guinea,https://en.wikipedia.org/wiki/Papua_New_Guinea_at_the_2020_Summer_Olympics,"           Sport  Men  Women  Total
0      Athletics    0      1      1
1         Boxing    1      0      1
2        Sailing    1      1      2
3       Swimming    1      1      2
4  Weightlifting    1      1      2
5          Total    4      4      8",4,4
134,Paraguay,https://en.wikipedia.org/wiki/Paraguay_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      1      2
1    Cycling    0      1      1
2       Golf    1      0      1
3     Rowing    0      1      1
4   Swimming    1      1      2
5     Tennis    0      1      1
6      Total    3      5      8",3,5
135,Peru,https://en.wikipedia.org/wiki/Peru_at_the_2020_Summer_Olympics,"            Sport  Men  Women  Total
0       Athletics    3      5      8
1       Badminton    0      1      1
2          Boxing    2      0      2
3         Cycling    1      0      1
4         Fencing    0      1      1
5      Gymnastics    0      1      1
6            Judo    1      0      1
7          Karate    0      1      1
8          Rowing    1      0      1
9         Sailing    1      4      5
10       Shooting    3      0      3
11  Skateboarding    1      0      1
12        Surfing    2      2      4
13       Swimming    1      1      2
14         Tennis    1      0      1
15  Weightlifting    1      0      1
16      Wrestling    1      0      1
17          Total   19     16     35",19,16
136,Philippines,https://en.wikipedia.org/wiki/Philippines_at_the_2020_Summer_Olympics,"            Sport  Men  Women  Total
0       Athletics    1      1      2
1          Boxing    2      2      4
2            Golf    1      2      3
3      Gymnastics    1      0      1
4            Judo    0      1      1
5          Rowing    1      0      1
6        Shooting    1      0      1
7   Skateboarding    0      1      1
8        Swimming    1      1      2
9       Taekwondo    1      0      1
10  Weightlifting    0      2      2
11          Total    9     10     19",9,10
137,Poland,https://en.wikipedia.org/wiki/Poland_at_the_2020_Summer_Olympics,"                Sport  Men  Women  Total
0             Archery    1      1      2
1           Athletics   31     32     63
2          Basketball    4      0      4
3              Boxing    1      3      4
4            Canoeing    5      8     13
5             Cycling    9      8     17
6          Equestrian    1      2      3
7             Fencing    0      4      4
8                Golf    1      0      1
9          Gymnastics    0      1      1
10               Judo    2      4      6
11  Modern pentathlon    2      1      3
12             Rowing   12      8     20
13            Sailing    3      6      9
14           Shooting    1      4      5
15      Skateboarding    0      1      1
16     Sport climbing    0      1      1
17           Swimming   13      4     17
18       Table tennis    0      3      3
19          Taekwondo    0      2      2
20             Tennis    3      3      6
21         Volleyball   16      0     16
22      Weightlifting    2      1      3
23          Wrestling    3      3      6
24              Total  110    100    210",110,100
138,Portugal,https://en.wikipedia.org/wiki/Portugal_at_the_2020_Summer_Olympics,"            Sport  Men  Women  Total
0       Athletics    7     13     20
1        Canoeing    6      2      8
2         Cycling    2      2      4
3      Equestrian    2      2      4
4      Gymnastics    1      1      2
5        Handball   14      0     14
6            Judo    2      6      8
7          Rowing    2      0      2
8         Sailing    4      1      5
9        Shooting    1      0      1
10  Skateboarding    1      0      1
11        Surfing    1      2      3
12       Swimming    5      4      9
13   Table tennis    3      2      5
14      Taekwondo    1      0      1
15         Tennis    2      0      2
16      Triathlon    2      1      3
17          Total   56     36     92",56,36
139,Puerto Rico,https://en.wikipedia.org/wiki/Puerto_Rico_at_the_2020_Summer_Olympics,"            Sport  Men  Women  Total
0       Athletics    3      1      4
1      Basketball    0     12     12
2          Boxing    1      0      1
3          Diving    1      0      1
4      Equestrian    0      1      1
5            Golf    1      1      2
6            Judo    1      2      3
7          Rowing    0      1      1
8         Sailing    1      1      2
9        Shooting    0      1      1
10  Skateboarding    2      0      2
11       Swimming    1      1      2
12   Table tennis    1      2      3
13      Taekwondo    0      1      1
14      Wrestling    1      0      1
15          Total   13     24     37",13,24
140,Qatar,https://en.wikipedia.org/wiki/Qatar_at_the_2020_Summer_Olympics,"           Sport  Men  Women  Total
0      Athletics    7      1      8
1           Judo    1      0      1
2         Rowing    0      1      1
3       Shooting    1      0      1
4       Swimming    1      1      2
5     Volleyball    2      0      2
6  Weightlifting    1      0      1
7          Total   13      3     16",13,3
141,Republic of the Congo,https://en.wikipedia.org/wiki/Republic_of_the_Congo_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      1      2
1   Swimming    0      1      1
2      Total    1      2      3",1,2
142,Romania,https://en.wikipedia.org/wiki/Romania_at_the_2020_Summer_Olympics,"           Sport  Men  Women  Total
0        Archery    0      1      1
1      Athletics    4      6     10
2     Basketball    0      4      4
3         Boxing    1      1      2
4       Canoeing    2      0      2
5        Cycling    2      0      2
6        Fencing    1      1      2
7       Football   18      0     18
8     Gymnastics    1      2      3
9           Judo    2      1      3
10        Rowing   17     19     36
11      Shooting    0      1      1
12      Swimming    3      1      4
13  Table tennis    1      3      4
14        Tennis    0      3      3
15     Triathlon    1      0      1
16     Wrestling    2      3      5
17         Total   55     46    101",55,46
143,Russian Olympic Committee athletes,https://en.wikipedia.org/wiki/Russian_Olympic_Committee_athletes_at_the_2020_Summer_Olympics,"                Sport  Men  Women  Total
0             Archery    1      3      4
1   Artistic swimming    —      8      8
2           Athletics    6      4     10
3           Badminton    3      1      4
4          Basketball    4      4      8
5              Boxing    7      4     11
6            Canoeing    9      8     17
7             Cycling    9      9     18
8              Diving    4      3      7
9          Equestrian    2      3      5
10            Fencing   12     11     23
11         Gymnastics    8     15     23
12           Handball    0     14     14
13               Judo    7      6     13
14             Karate    0      1      1
15  Modern pentathlon    1      2      3
16             Rowing    3      7     10
17       Rugby sevens    0     12     12
18            Sailing    4      2      6
19           Shooting    8      9     17
20     Sport climbing    1      2      3
21           Swimming   21     15     36
22       Table tennis    1      2      3
23          Taekwondo    3      1      4
24             Tennis    4      4      8
25          Triathlon    2      2      4
26         Volleyball   16     14     30
27         Water polo    0     12     12
28      Weightlifting    1      1      2
29          Wrestling   11      6     17
30              Total  148    185    333",148,185
144,Rwanda,https://en.wikipedia.org/wiki/Rwanda_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      1      2
1    Cycling    1      0      1
2   Swimming    1      1      2
3      Total    3      2      5",3,2
145,Saint Lucia,https://en.wikipedia.org/wiki/Saint_Lucia_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    0      1      1
1    Sailing    1      1      2
2   Swimming    1      1      2
3      Total    2      3      5",2,3
146,Saint Vincent and the Grenadines,https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    0      1      1
1   Swimming    1      1      2
2      Total    1      2      3",1,2
147,Samoa,https://en.wikipedia.org/wiki/Samoa_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      0      1
1     Boxing    2      0      2
2   Canoeing    2      1      3
3       Judo    1      0      1
4    Sailing    1      0      1
5      Total    7      1      8",7,1
148,San Marino,https://en.wikipedia.org/wiki/San_Marino_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0       Judo    1      0      1
1   Shooting    1      1      2
2   Swimming    0      1      1
3  Wrestling    1      0      1
4      Total    3      2      5",3,2
149,S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe,https://en.wikipedia.org/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    0      1      1
1   Canoeing    2      0      2
2      Total    2      1      3",2,1
150,Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia_at_the_2020_Summer_Olympics,"           Sport  Men  Women  Total
0      Athletics    1      1      2
1       Football   22      0     22
2           Judo    1      1      2
3         Karate    1      0      1
4         Rowing    1      0      1
5       Shooting    1      0      1
6       Swimming    1      0      1
7   Table tennis    1      0      1
8  Weightlifting    2      0      2
9          Total   31      2     33",31,2
151,Senegal,https://en.wikipedia.org/wiki/Senegal_at_the_2020_Summer_Olympics,"          Sport  Men  Women  Total
0     Athletics    1      0      1
1      Canoeing    1      0      1
2       Fencing    0      1      1
3          Judo    1      0      1
4      Shooting    0      1      1
5      Swimming    1      1      2
6  Table tennis    1      0      1
7     Wrestling    1      0      1
8         Total    6      3      9",6,3
152,Seychelles,https://en.wikipedia.org/wiki/Seychelles_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      0      1
1       Judo    1      0      1
2    Sailing    1      0      1
3   Swimming    1      1      2
4      Total    4      1      5",4,1
153,Sierra Leone,https://en.wikipedia.org/wiki/Sierra_Leone_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    0      1      1
1       Judo    1      0      1
2   Swimming    1      1      2
3      Total    2      2      4",2,2
154,Singapore,https://en.wikipedia.org/wiki/Singapore_at_the_2020_Summer_Olympics,"           Sport  Men  Women  Total
0      Athletics    0      1      1
1      Badminton    1      1      2
2         Diving    1      1      2
3     Equestrian    0      1      1
4        Fencing    0      2      2
5     Gymnastics    0      1      1
6         Rowing    0      1      1
7        Sailing    1      3      4
8       Shooting    0      1      1
9       Swimming    2      2      4
10  Table tennis    1      3      4
11         Total    6     17     23",6,17
155,Slovakia,https://en.wikipedia.org/wiki/Slovakia_at_the_2020_Summer_Olympics,"           Sport  Men  Women  Total
0        Archery    0      1      1
1      Athletics    5      4      9
2      Badminton    0      1      1
3         Boxing    1      0      1
4       Canoeing    7      2      9
5        Cycling    2      0      2
6           Golf    1      0      1
7     Gymnastics    0      1      1
8       Shooting    4      3      7
9       Swimming    1      1      2
10  Table tennis    2      1      3
11        Tennis    3      0      3
12     Wrestling    1      0      1
13         Total   27     14     41",27,14
156,Slovenia,https://en.wikipedia.org/wiki/Slovenia_at_the_2020_Summer_Olympics,"             Sport  Men  Women  Total
0          Archery    1      0      1
1        Athletics    2      5      7
2       Basketball   12      0     12
3         Canoeing    2      4      6
4          Cycling    4      2      6
5             Golf    0      1      1
6       Gymnastics    0      1      1
7             Judo    1      4      5
8          Sailing    1      2      3
9         Shooting    0      1      1
10  Sport climbing    0      2      2
11        Swimming    1      3      4
12    Table tennis    3      0      3
13       Taekwondo    1      0      1
14           Total   28     25     53",28,25
157,Solomon Islands,https://en.wikipedia.org/wiki/Solomon_Islands_at_the_2020_Summer_Olympics,"           Sport  Men  Women  Total
0      Athletics    0      1      1
1       Swimming    1      0      1
2  Weightlifting    0      1      1
3          Total    1      2      3",1,2
158,Somalia,https://en.wikipedia.org/wiki/Somalia_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      0      1
1     Boxing    0      1      1
2      Total    1      1      2",1,1
159,South Korea,https://en.wikipedia.org/wiki/South_Korea_at_the_2020_Summer_Olympics,"                Sport  Men Women  Total
0             Archery    3     3      6
1           Athletics    5     2      7
2           Badminton    3     7     10
3            Baseball   24     —     24
4          Basketball    0    12     12
5              Boxing    0     2      2
6            Canoeing    1     0      1
7             Cycling    0     2      2
8              Diving    3     2      5
9          Equestrian    1     0      1
10            Fencing    9     9     18
11           Football   22     0     22
12               Golf    2     4      6
13         Gymnastics    5     2      7
14           Handball    0    14     14
15             Karate    1     0      1
16               Judo    7     7     14
17  Modern pentathlon    2     2      4
18             Rowing    0     1      1
19       Rugby sevens   13     0     13
20            Sailing    4     0      4
21           Shooting    7     8     15
22     Sport climbing    1     1      2
23           Swimming    7     5     12
24       Table tennis    3     3      6
25          Taekwondo    3     3      6
26             Tennis    1     0      1
27         Volleyball    0    12     12
28      Weightlifting    3     4      7
29          Wrestling    2     0      2
30              Total  132   105    237",132,105
160,South Sudan,https://en.wikipedia.org/wiki/South_Sudan_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      1      2
1      Total    1      1      2",1,1
161,Spain,https://en.wikipedia.org/wiki/Spain_at_the_2020_Summer_Olympics,"                Sport  Men  Women  Total
0             Archery    1      1      2
1   Artistic swimming    —      8      8
2           Athletics   32     22     54
3           Badminton    1      1      2
4          Basketball   12     12     24
5              Boxing    4      0      4
6            Canoeing   10      5     15
7             Cycling    9      3     12
8              Diving    2      0      2
9          Equestrian    4      1      5
10            Fencing    1      0      1
11       Field hockey   16     16     32
12           Football   18      0     18
13               Golf    2      2      4
14         Gymnastics    5      4      9
15           Handball   14     14     28
16               Judo    3      4      7
17             Karate    1      1      2
18  Modern pentathlon    1      0      1
19             Rowing    4      2      6
20            Sailing    8      7     15
21           Shooting    1      1      2
22      Skateboarding    2      2      4
23     Sport climbing    1      0      1
24           Swimming    4      7     11
25       Table tennis    1      2      3
26          Taekwondo    3      1      4
27             Tennis    4      4      8
28          Triathlon    3      2      5
29         Volleyball    2      2      4
30         Water polo   12     12     24
31      Weightlifting    3      1      4
32              Total  184    137    321",184,137
162,Sri Lanka,https://en.wikipedia.org/wiki/Sri_Lanka_at_the_2020_Summer_Olympics,"        Sport  Men  Women  Total
0   Athletics    1      1      2
1   Badminton    1      0      1
2  Equestrian    0      1      1
3  Gymnastics    0      1      1
4        Judo    1      0      1
5    Shooting    0      1      1
6    Swimming    1      1      2
7       Total    4      5      9",4,5
163,Sudan,https://en.wikipedia.org/wiki/Sudan_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      0      1
1       Judo    1      0      1
2     Rowing    0      1      1
3   Swimming    1      1      2
4      Total    3      2      5",3,2
164,Suriname,https://en.wikipedia.org/wiki/Suriname_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Badminton    1      0      1
1    Cycling    1      0      1
2   Swimming    1      0      1
3      Total    3      0      3",3,0
165,Sweden,https://en.wikipedia.org/wiki/Sweden_at_the_2020_Summer_Olympics,"            Sport  Men  Women  Total
0         Archery    0      1      1
1       Athletics   12      9     21
2       Badminton    1      0      1
3          Boxing    1      1      2
4        Canoeing    2      1      3
5         Cycling    0      1      1
6          Diving    0      1      1
7      Equestrian    4      8     12
8        Football    0     22     22
9            Golf    2      2      4
10     Gymnastics    1      1      2
11       Handball   15     15     30
12           Judo    3      1      4
13         Rowing    0      1      1
14        Sailing    5      4      9
15       Shooting    1      0      1
16  Skateboarding    1      0      1
17       Swimming    4      6     10
18   Table tennis    3      2      5
19         Tennis    0      1      1
20  Weightlifting    0      1      1
21      Wrestling    1      2      3
22          Total   56     80    136",56,80
166,Switzerland,https://en.wikipedia.org/wiki/Switzerland_at_the_2020_Summer_Olympics,"             Sport  Men  Women  Total
0        Athletics    5     11     16
1        Badminton    0      1      1
2         Canoeing    2      1      3
3          Cycling   16      6     22
4           Diving    0      1      1
5       Equestrian    5      2      7
6          Fencing    3      0      3
7       Gymnastics    4      1      5
8             Judo    1      1      2
9           Karate    0      1      1
10          Rowing    6      3      9
11         Sailing    3      3      6
12        Shooting    0      2      2
13  Sport climbing    0      1      1
14        Swimming    9      4     13
15    Table tennis    0      1      1
16          Tennis    1      2      3
17       Triathlon    2      2      4
18      Volleyball    2      4      6
19       Wrestling    1      0      1
20           Total   60     47    107",60,47
167,Syria,https://en.wikipedia.org/wiki/Syria_at_the_2020_Summer_Olympics,"           Sport  Men  Women  Total
0      Athletics    1      0      1
1     Equestrian    1      0      1
2       Swimming    1      0      1
3   Table tennis    0      1      1
4      Triathlon    1      0      1
5  Weightlifting    1      0      1
6          Total    5      1      6",5,1
168,Tajikistan,https://en.wikipedia.org/wiki/Tajikistan_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      0      1
1     Boxing    3      0      3
2       Judo    4      0      4
3   Swimming    1      1      2
4      Total    9      1     10",9,1
169,Tanzania,https://en.wikipedia.org/wiki/Tanzania_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    2      1      3
1      Total    2      1      3",2,1
170,Thailand,https://en.wikipedia.org/wiki/Thailand_at_the_2020_Summer_Olympics,"           Sport  Men  Women  Total
0      Athletics    1      1      2
1      Badminton    2      5      7
2         Boxing    1      3      4
3       Canoeing    0      1      1
4        Cycling    0      2      2
5     Equestrian    2      1      3
6           Golf    2      2      4
7           Judo    0      1      1
8         Rowing    2      0      2
9        Sailing    1      2      3
10      Shooting    2      4      6
11      Swimming    1      1      2
12  Table tennis    0      2      2
13     Taekwondo    1      1      2
14         Total   15     26     41",15,26
171,Togo,https://en.wikipedia.org/wiki/Togo_at_the_2020_Summer_Olympics,"          Sport  Men  Women  Total
0     Athletics    1      0      1
1        Rowing    0      1      1
2      Swimming    1      0      1
3  Table tennis    1      0      1
4         Total    3      1      4",3,1
172,Tonga,https://en.wikipedia.org/wiki/Tonga_at_the_2020_Summer_Olympics,"           Sport  Men  Women  Total
0      Athletics    1      0      1
1       Swimming    1      1      2
2      Taekwondo    1      1      2
3  Weightlifting    0      1      1
4          Total    3      3      6",3,3
173,Trinidad and Tobago,https://en.wikipedia.org/wiki/Trinidad_and_Tobago_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    8      7     15
1     Boxing    1      0      1
2    Cycling    2      1      3
3       Judo    0      1      1
4     Rowing    0      1      1
5    Sailing    1      0      1
6   Swimming    1      1      2
7      Total   13     11     24",13,11
174,Turkey,https://en.wikipedia.org/wiki/Turkey_at_the_2020_Summer_Olympics,"                Sport  Men  Women  Total
0             Archery    1      1      2
1           Athletics   17      8     25
2           Badminton    0      1      1
3              Boxing    3      3      6
4             Cycling    2      0      2
5             Fencing    0      1      1
6          Gymnastics    4      1      5
7                Judo    4      2      6
8              Karate    3      4      7
9   Modern pentathlon    0      1      1
10             Rowing    1      0      1
11            Sailing    4      4      8
12           Shooting    4      0      4
13           Swimming    6      5     11
14          Taekwondo    1      4      5
15         Volleyball    0     12     12
16      Weightlifting    1      1      2
17          Wrestling    7      2      9
18              Total   58     50    108",58,50
175,Turkmenistan,https://en.wikipedia.org/wiki/Turkmenistan_at_the_2020_Summer_Olympics,"           Sport  Men  Women  Total
0      Athletics    1      0      1
1           Judo    0      1      1
2       Swimming    1      1      2
3  Weightlifting    3      2      5
4          Total    5      4      9",5,4
176,Uganda,https://en.wikipedia.org/wiki/Uganda_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    9     10     19
1     Boxing    2      1      3
2     Rowing    0      1      1
3   Swimming    1      1      2
4      Total   12     13     25",12,13
177,United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      0      1
1       Judo    2      0      2
2   Shooting    1      0      1
3   Swimming    1      0      1
4      Total    5      0      5",5,0
178,United States,https://en.wikipedia.org/wiki/United_States_at_the_2020_Summer_Olympics,"                Sport  Men Women  Total
0             Archery    3     3      6
1   Artistic swimming    —     2      2
2           Athletics   63    65    128
3           Badminton    3     1      4
4            Baseball   24     —     24
5          Basketball   12    16     28
6              Boxing    5     5     10
7            Canoeing    2     2      4
8             Cycling    9    18     27
9              Diving    5     6     11
10         Equestrian    5     4      9
11            Fencing    9     9     18
12  Football (soccer)    0    18     18
13               Golf    4     4      8
14         Gymnastics    6    14     20
15               Judo    1     3      4
16             Karate    3     1      4
17  Modern pentathlon    1     1      2
18             Rowing   13    24     37
19       Rugby sevens   12    12     24
20            Sailing    6     7     13
21           Shooting   11     9     20
22      Skateboarding    6     6     12
23           Softball    —    15     15
24     Sport climbing    2     2      4
25            Surfing    2     2      4
26           Swimming   25    28     53
27       Table tennis    3     3      6
28             Tennis    6     6     12
29          Taekwondo    0     2      2
30          Triathlon    2     3      5
31         Volleyball   16    16     32
32         Water polo   13    13     26
33      Weightlifting    4     4      8
34          Wrestling    9     6     15
35              Total  285   330    615",285,330
179,Uruguay,https://en.wikipedia.org/wiki/Uruguay_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      2      3
1       Judo    1      0      1
2     Rowing    2      0      2
3    Sailing    1      2      3
4   Swimming    1      1      2
5      Total    6      5     11",6,5
